Keywords,Links
"Schools, Departments, Deans",https://docs.google.com/document/d/1zdPpQZwf0XqpJojTDTrh3g8zbqpbuocaqRxNRutGX7M/edit?usp=sharing
"FES Faculties,fes faculty, Forestry & Environmental Science faculty, fes teacher",https://docs.google.com/document/d/16sghK4IK1xs-0xkp03YukX-8wXm4VstObxkXxL2XkN0/edit?usp=sharing
"Architecture Faculties,Architecture faculty, Architecture teacher",https://docs.google.com/document/d/1jVwzRtANxdC1EZCtaLwz7_-rh4MRMjXv71flBIeYi24/edit?usp=sharing
"CSE Faculties,cse faculty, Computer science and enginnering faculty, cse teacher",https://docs.google.com/document/d/1n_vOmbBCPywyzu0NuNEZB-TAXhT5r6puQPiyKGrxde4/edit?tab=t.23wd0okwnp9a
"Overview of university, Abstract, Summary of university, overview of sust, summery of sust",https://docs.google.com/document/d/16H6vZ5IMYjHwJFw6-hyNFPvvuwFwH6UsVocsbNsRrnk/edit?usp=sharing
"Academic Building, Educational building, Lecture hall, Departmental building",https://docs.google.com/document/d/17REv_JPyjwMC_brWXL4-_lmhvPmCMKGpdC9kGMePd88/edit?usp=sharing
"Residential Halls, Dormitories, Dorms, Student residences, boys hall, girls hall",https://docs.google.com/document/d/1Sv0EULqynSjvADNAFzuqpVn_yRM_Ey7FVDX0cgND07Q/edit?usp=sharing
"vc, Vice Chancellor, pro vc, Pro Vice Chancellor",https://docs.google.com/document/d/1WlNMNiUNKKdL8uxK8rNuoD3PCjwoBS64VFFb2KwelJA/edit?usp=sharing
"Central Library, Campus Library, library, Institutional Library",https://docs.google.com/document/d/1IKNqhAApJVxC_kLvX2x1EzTa3c2QJ_SXgv7Tlr_SVLY/edit?usp=sharing
"Students Organization, Clubs, student clubs, student society, student association",https://docs.google.com/document/d/168ySQflNtQaM5wbEUFsY3mX6PUQ7vaXXjoO_St4aT80/edit?usp=sharing
"Campus Life, university life, campus experience, life on campus, campus environment",https://docs.google.com/document/d/1VDruj_5QU3hcp3wMsFcJLC2VuAU-TnSTWtxQs04pbU0/edit?usp=sharing
"Laboratory, laboratories",https://docs.google.com/document/d/1JzR0aZF2sVPgRlTEUpzDQgLAzk-iHpl3EJOJLX39O9I/edit?usp=sharing
"university statistics, Degree, engineering, BSc degree, Masters degree",https://docs.google.com/document/d/1LWGN9jrrG4BZin6Xq7pF9vU3mnH9V5kLrY4V4ogLxRc/edit?usp=sharing
"Directional guideline, campus roadmap, campus navigation, Shahid minar, kilo road, mosque, central auditorium,central field",https://docs.google.com/document/d/1MRQy8xGPiA8emM2HAchWJV4jt9-2hywTuWaR-8dZU6s/edit?usp=sharing
"admission, undergraduate admission, admission test, admission process, foreign student",https://docs.google.com/document/d/1y-EJ-f36SGGCXysmPjmisKyG1WMdVW8QS1FBXWJfkSE/edit?usp=sharing
"Contact, Numer, contact us, email, contact number",https://docs.google.com/document/d/1VO_StF_DFYeCWfhYvWXfYZ4ij9Oi12zp6qq6h9C69OE/edit?usp=sharing
"who are you?, hello?, how can you help?, identity",https://docs.google.com/document/d/1uT8fHmMdwZfIougpUf-_spxOv3QYEore4oAWMNbe3U4/edit?usp=sharing
